,index,Gender,EthnicGroup,ParentEducation,LunchType,No: of Siblings,TransportMeans,WeeklyStudyHours,MathScore,ReadingScore,WritingScore
0,2,0,group B,master's degree,standard,4,school_bus,< 5,87,93,91
1,4,0,group C,some college,standard,0,school_bus,5 - 10,76,78,75
2,5,0,group B,associate's degree,standard,1,school_bus,5 - 10,73,84,79
3,6,0,group B,some college,standard,1,private,5 - 10,85,93,89
4,7,0,group B,some college,free/reduced,1,private,> 10,41,43,39
5,8,0,group D,high school,free/reduced,3,private,> 10,65,64,68
6,10,0,group C,associate's degree,standard,1,private,5 - 10,58,54,52
7,11,0,group D,associate's degree,standard,1,school_bus,5 - 10,40,52,43
8,12,0,group B,high school,standard,1,private,5 - 10,66,82,74
9,13,0,group A,some college,standard,1,private,> 10,80,73,71
10,14,0,group A,master's degree,standard,2,private,< 5,48,53,58
11,16,0,group C,high school,standard,0,school_bus,5 - 10,88,89,86
12,17,0,group B,some high school,free/reduced,1,school_bus,5 - 10,18,32,28
13,18,0,group C,master's degree,free/reduced,1,private,5 - 10,46,42,47
14,19,0,group C,associate's degree,free/reduced,3,private,< 5,50,56,58
15,20,0,group D,high school,standard,5,school_bus,5 - 10,66,69,63
16,21,0,group B,some college,free/reduced,2,school_bus,5 - 10,65,75,70
17,25,0,group A,master's degree,free/reduced,1,school_bus,5 - 10,75,76,76
18,26,0,group B,some college,standard,5,school_bus,< 5,66,53,53
19,27,0,group C,bachelor's degree,standard,4,school_bus,> 10,69,70,76
20,28,0,group C,high school,standard,1,private,5 - 10,70,70,65
21,29,0,group D,some college,standard,0,private,< 5,66,72,72
22,31,0,group E,master's degree,free/reduced,1,school_bus,5 - 10,56,73,66
23,35,0,group D,associate's degree,standard,2,private,5 - 10,76,82,85
24,36,0,group D,some high school,free/reduced,1,private,5 - 10,51,64,60
25,37,0,group D,associate's degree,free/reduced,1,school_bus,5 - 10,77,91,90
26,38,0,group B,associate's degree,free/reduced,5,school_bus,5 - 10,58,56,58
27,39,0,group C,associate's degree,free/reduced,0,school_bus,5 - 10,53,60,52
28,41,0,group B,some college,free/reduced,3,school_bus,5 - 10,60,65,67
29,42,0,group E,associate's degree,free/reduced,5,school_bus,< 5,48,55,52
30,43,0,group B,associate's degree,standard,3,school_bus,< 5,63,53,55
31,46,0,group E,some college,standard,3,school_bus,> 10,54,55,48
32,48,0,group C,some college,standard,3,school_bus,> 10,56,45,43
33,49,0,group D,high school,standard,2,school_bus,5 - 10,88,78,75
34,51,0,group C,high school,free/reduced,2,private,5 - 10,33,41,43
35,52,0,group E,associate's degree,standard,3,school_bus,> 10,84,86,87
36,53,0,group D,associate's degree,standard,2,private,5 - 10,52,55,49
37,55,0,group C,some high school,free/reduced,3,school_bus,> 10,0,17,10
38,57,0,group A,associate's degree,free/reduced,5,private,5 - 10,62,61,55
39,58,0,group D,some high school,standard,0,school_bus,5 - 10,59,58,59
40,59,0,group B,some high school,standard,1,private,< 5,63,62,58
41,60,0,group D,some high school,free/reduced,4,school_bus,5 - 10,45,37,37
42,61,0,group C,some college,standard,3,school_bus,5 - 10,61,73,75
43,63,0,group C,associate's degree,standard,3,school_bus,5 - 10,39,64,57
44,64,0,group D,some college,standard,3,private,> 10,64,55,64
45,65,0,group A,associate's degree,free/reduced,1,private,5 - 10,42,51,49
46,66,0,group C,some high school,free/reduced,3,school_bus,5 - 10,59,56,54
47,67,0,group C,some high school,standard,2,private,< 5,47,48,40
48,69,0,group E,some high school,standard,5,school_bus,5 - 10,28,25,21
49,71,0,group D,some high school,standard,2,school_bus,> 10,62,75,73
50,72,0,group E,master's degree,standard,1,school_bus,5 - 10,60,68,68
51,73,0,group B,associate's degree,standard,0,private,> 10,49,50,52
52,76,0,group E,associate's degree,standard,0,private,5 - 10,74,64,64
53,77,0,group D,high school,free/reduced,3,private,5 - 10,40,38,33
54,78,0,group C,some college,standard,0,private,5 - 10,73,80,82
